Code,产品名称
SUI.US,Sun Communities
EPAM.US,Epam Systems
BBY.US,百思买
HBAN.US,亨廷顿银行
VIV.US,保罗迪圣电讯
SUZ.US,Suzano
TER.US,泰瑞达
NIO.US,蔚来
AXON.US,Axon Enterprise
AVY.US,艾利丹尼森
OMC.US,宏盟集团
L.US,洛斯保险
WDC.US,西部数据
AER.US,Aercap飞机租赁
EXPE.US,Expedia
SHG.US,新韩金融
EDR.US,Endeavor Group
BSY.US,Bentley Systems
NTRS.US,北方信托
EBR.US,巴西电力
AVTR.US,Avantor
XPEV.US,小鹏汽车
TRU.US,TransUnion
TPL.US,Texas Pacific Land
UAL.US,联合航空控股
FOX.US,福克斯B
SNAP.US,Snap
BIP.US,布鲁克菲尔德公共建设
JBL.US,捷普
BAH.US,博思艾伦咨询
MMP.US,麦哲伦油气
EQT.US,EQT能源
VRT.US,Vertiv Holdings
DGX.US,奎斯特诊疗
ESS.US,埃塞克斯信托
CAG.US,康尼格拉
LW.US,Lamb Weston Holdings
STX.US,希捷科技
DT.US,Dynatrace
ENTG.US,英特格
RVTY.US,珀金埃尔默
SNA.US,实耐宝
LBRDK.US,Liberty Broadband C
LBRDA.US,Liberty Broadband A
CE.US,塞拉尼斯
POOL.US,Pool
PKG.US,美国包装
ERIE.US,伊瑞保险
GRAB.US,Grab Holdings
DPZ.US,达美乐比萨
ACI.US,艾伯森
BAM.US,Brookfield Asset
SSNC.US,SS&C技术控股
DECK.US,戴克斯户外
LII.US,雷诺士
OKTA.US,Okta
LKQ.US,LKQ
APP.US,Applovin
SYF.US,Synchrony Financial
AEG.US,荷兰全球保险
FMS.US,费森尤斯医疗
AMCR.US,Amcor
NMR.US,野村控股
INCY.US,因塞特医疗
LNT.US,美国联合能源
AGR.US,Avangrid
SJM.US,JM斯马克
TAP.US,摩森康胜B
CELH.US,Celsius控股
DKNG.US,DraftKings
RYAN.US,Ryan Specialty
SWK.US,史丹利百得
MGM.US,美高梅
AZPN.US,艾斯本科技
NDSN.US,Nordson
LSXMK.US,Liberty SiriusXM C
CPB.US,康宝浓汤
CSL.US,卡莱尔伙伴
HTHT.US,华住
LSXMA.US,Liberty SiriusXM A
CFG.US,Citizens
LDOS.US,Leidos Holdings
IHG.US,洲际酒店集团
BEN.US,富兰克林资源
SMCI.US,超微电脑
TRMB.US,天宝导航
AMH.US,American Homes 4
GGG.US,固瑞克
OVV.US,Ovintiv
XP.US,XP
IOT.US,Samsara
APA.US,阿帕奇
CRBG.US,Corebridge Financial
ELS.US,宜居生活资产信托
WPC.US,W. P. Carey
EVRG.US,Evergy
GLPI.US,Gaming And Leisure
VST.US,Vistra
RPM.US,RPM国际
GFL.US,GFL Environmental
KMX.US,车美仕
U.US,Unity
OC.US,欧文斯科宁
EXAS.US,精密科学
GEN.US,Gen Digital
MANH.US,曼哈顿联合软件
WSO.US,华斯科
MAS.US,马斯可木业
UDR.US,UDR不动产信托
MOS.US,美盛
IP.US,国际纸业
LCID.US,Lucid Group
ZBRA.US,斑马技术
NWS.US,新闻集团B
JHX.US,詹姆斯哈迪
TEVA.US,梯瓦制药
VTRS.US,Viatris
FLEX.US,伟创力国际
LEGN.US,传奇生物
MTCH.US,Match Group
RBA.US,RB Global
LSCC.US,莱迪思半导体
ACM.US,AECOM
FNF.US,富达国民金融A
NWSA.US,新闻集团
HST.US,豪斯特酒店
TFII.US,TFI International
LOGI.US,罗技
SRPT.US,Sarepta医疗
NBIX.US,神经分泌生物科学
IPG.US,埃培智
RDY.US,如瑞迪博士
SNN.US,施乐辉
PAA.US,全美平地管道
UHAL.US,U-Haul Holding
NI.US,尼索斯
TECH.US,Bio-Techne
KIM.US,金克地产
CG.US,凯雷集团
CNA.US,CNA金融
SRAD.US,Sportradar Group
NICE.US,NICE
PODD.US,银休特
CHK.US,切萨皮克能源
PSTG.US,Pure Storage
JKHY.US,杰克亨利
TME.US,腾讯音乐
GDDY.US,Godaddy
GFI.US,金田
TWLO.US,Twilio
PAG.US,潘世奇汽车
PNR.US,滨特尔
ARCC.US,阿瑞斯资本
H.US,凯悦酒店
AES.US,爱依斯电力
BILL.US,BILL Holdings
DINO.US,HF Sinclair
UHAL.B.US,U-Haul Holding N
CCK.US,皇冠控股
Z.US,Zillow Group C
BAP.US,Credicorp
REXR.US,雷克斯工业房地产
CPT.US,卡姆登物业信托
UTHR.US,联合治疗
GL.US,Globe Life
WYNN.US,永利度假村
REG.US,Regency Centers
MORN.US,晨星信息
RNR.US,复兴控股
CASY.US,凯西通用零售
ZG.US,Zillow Group A
WES.US,Western Midstream
BIO.US,Bio Rad实验室A
SAIA.US,Saia
PARAA.US,派拉蒙全球 A
CRL.US,查尔斯河
DOX.US,Amdocs
COTY.US,科蒂
LECO.US,林肯电气控股
CDAY.US,Ceridian HCM Holding
BCH.US,智利银行
CHRW.US,罗宾逊全球物流
TOST.US,Toast
KEY.US,Keycorp
CZR.US,凯撒娱乐
EME.US,EMCOR Group
PCTY.US,Paylocity Holding
KNSL.US,Kinsale Capital
CX.US,西麦斯
